Rnd,Pick,Tm,Player,Pos,Age,To,-9999
7,237,NOR,Daniel Lasco,RB,23,2017,LascDa00
7,238,ATL,Devin Fuller,WR,22,,FullDe00
7,239,IND,Trevor Bates,LB,23,2018,BateTr00
7,240,PHI,Alex McCalister,DE,22,,McCaAl00
7,241,NYJ,Charone Peake,WR,23,2018,PeakCh00
7,242,WAS,Keith Marshall,RB,22,,MarsKe00
7,243,SEA,Kenny Lawler,WR,22,,LawlKe00
7,244,MIN,Jayron Kearse,S,22,2023,KearJa00
7,245,CIN,Clayton Fejedelem,S,23,2022,FejeCl00
7,246,PIT,Tyler Matakevich,OLB,23,2023,MataTy00
7,247,SEA,Zac Brooks,RB,23,,BrooZa00
7,248,IND,Austin Blythe,C,24,2022,BlytAu00
7,249,SFO,Prince Charles Iworah,CB,23,2016,IworPr00
7,250,CLE,Scooby Wright III,ILB,22,2017,WrigSc00
7,251,PHI,Joe Walker,ILB,23,2021,WalkJo01
7,252,CAR,Beau Sandland,TE,23,,SandBe00
7,253,TEN,Kalan Reed,CB,22,2017,ReedKa00
